model
[NO CONTENT FOUND]
Claro. Aqui está a análise completa do arquivo `micromaster.txt`, extraindo as Falhas (F0xxx) e Alarmes (A0xxx) do drive **MICROMASTER 440** no formato solicitado: **CODIGO|DESCRICAO|CAUSAS|SOLUCAO**.
F0022|Falha Powerstack|Falha de hardware (P0947 = 22 and P0949 = 1) causada por: (1) sobrecorrente no DC-link = curto-circuito no IGBT; (2) curto-circuito no retificador; (3) falha à terra; (4) módulo de E/S não está inserido adequadamente. (Tamanhos A a C: 1,2,3,4. Tamanhos D a E: 1,2,4. Tamanho F: 2,4). Falha UCE detectada (P0947 = 22 e P0949 = 12, 13 ou 14 - MegaMaster)|Checar o módulo de E/S. Ele deve ser totalmente inserido.
F0023|Falha na saída|Uma das fases de saída está desconectada|OFF2
F0024|Sobretemperatura no Retificador|Ventilação inadequada; Ventilador não funciona; Temperatura ambiente está muito alta|Verificar: Ventilador deve funcionar quando inversor estiver ligado. A Freqüência de pulso deve ser ajustada no valor default. A temperatura ambiente pode estar mais alta que a especificada para o inversor.
F0030|Ventilador com defeito|Ventilador não funciona mais|Falha não pode ser ignorada enquanto módulo opcional (AOP ou BOP) estiver conectado. Necessita de novo ventilador.
F0035|Falha na partida automática após nova tentativa|Falha na Partida automática após nova tentativa de partida|OFF2
F0040|Falha na calibração automática|Somente para MICROMASTER 440|OFF2
F0041|Falha na identificação dos dados do motor|Valor de alarme =0: carga faltante; Valor de alarme =1: nível limite de corrente atingido; Valor de alarme =2: Resistência identificada do estator menor do que 0,1% ou maior do que 100%. Valores 3-9 e 20, 30, 40 indicam outras inconsistências na identificação dos dados.|Verificar se o motor está conectado ao inversor. Checar se os dados do motor em P304-311 estão corretos. Checar qual tipo de ligação do motor é exigido (estrela, delta).
F0042|Falha na otimização do controle de velocidade|Valor de alarme =0: Time out na espera de estabilização da velocidade; Valor de alarme =1: Leituras inconsistentes|OFF2
F0051|Falha parâmetro EEPROM|Falha de leitura ou gravação durante salvamento de parâmetros não-voláteis|Reset de fábrica e nova parametrização. Trocar o acionamento.
F0052|Falha power stack|Falha de leitura por informação do power stack ou dados inválidos|Trocar o acionamento.
F0053|Falha IO Eeprom|Falha de leitura para informações da IO EEPROM ou dados inválidos|Checar dados. Trocar módulo de IO.
F0054|Módulo IO incorreto|1. Módulo IO incorreto está conectado. 2. Detectado No ID no módulo IO, No. dados|Checar dados. Trocar módulo de IO.
F0060|Asic Timeout|Falha de comunicação interna|Caso falha persista, trocar inversor. Contactar Assistência Técnica.
F0070|Falha setpoint - CB|Nenhum valor de setpoint via CB (módulo de comunicação) durante tempo do telegrama|Checar CB e ambos os lados da comunicação (parceiro, etc).
F0071|Falha setpoint - USS (BOP-link)|Nenhum valor de setpoint via USS durante tempo do telegrama|Checar master USS.
F0072|Falha setpoint - USS (COMM link)|Nenhum valor de setpoint via USS durante tempo do telegrama|Checar master USS.
F0080|Sinal de entrada analógica perdido|Quebra de fio; Sinal fora dos limites|OFF2
F0085|Falha externa|Falha externa acionada através dos bornes de entrada|Desabilitar bornes de entrada para gerar falha.
F0090|Perda do sinal de feedback do encoder|Perda do sinal de feedback do encoder|1. Verificar se o encoder está acoplado. Caso não esteja acoplado, ajustar P400 = 0 e selecionar modo SLVC (P1300 = 20 ou 22). 2. Verificar conexões entre encoder e inversor. 3. Verificar encoder sem falhas (selecionar P1300 = 0, rodar a uma velocidade fixa, verificar sinal de feedback do encoder em P66). Aumentar limite para perda do sinal do encoder em P492.
F0101|Stack Overflow|Erro de software ou falha no processador|Rodar rotinas de auto teste.
F0221|Feedback do PID abaixo valor mínimo|Feedback PID abaixo valor mínimo P2268|Alterar valor de P2268. Ajustar ganho do feedback.
F0222|Feedback do PID acima valor máximo|Feedback PID acima valor máximo P2267|Alterar valor de P2267. Ajustar ganho do feedback.
F0450|Falhas nos Testes BIST|Valor de falha: 1. Teste de alguma seção de potência falhou; 2. Teste de algum módulo de controle falhou; 4. Algum teste funcional falhou; 8. Teste de algum módulo IO falhou (somente MM 420); 16. Falha de RAM interna na verificação de energização|Acionamento pode funcionar, porém algumas características não irão rodar adequadamente. Trocar acionamento.
F0452|Falha de transmissão mecânica detectada|Condições de carga do motor indicam falha de transmissão mecânica ou falha mecânica|Verificar: 1. Se existe alguma interrupção, ou obstrução no percurso do acionamento. 1. Caso esteja sendo utilizado sensor de velocidade externo, verificar para corrigir a função. Verificar os parâmetros: P0409 (pulsos por mín. à velocidade nominal), P2191 (tolerância de velocidade -falha de transmissão mecânica), P2192 (tempo de retardo para desvio permitido). 2. Caso esteja sendo utilizado torque envelope, verificar os parâmetros P2182-P2190 e P2192. 4. Aplicar lubrificação, caso necessário.
A0501|Limite de Corrente|A potência do motor não corresponde à potência do inversor; Cabos do motor muito longos; Falhas à terra|Verificar: 1. A potência do motor (P0307) deve corresponder à potência do inversor (r0206). 2. Os limites de comprimento de cabos não devem ser excedidos. 3. Os cabos do motor e motor não devem ter curto-circuito ou falha à terra. 4. Parâmetros do Motor devem coincidir com os do motor em uso. 5. Valor de resistência do estator (P0350) deve estar correto. 6. O Motor não deve estar obstruído ou sobrecarregado. Aumentar o tempo da rampa de aceleração. Reduzir o incremento de boost.
A0502|Limite de sobretensão|Limite de sobretensão foi atingido. Este alarme pode ocorrer durante o tempo de desaceleração, se o controlador DC-link está desabilitado (P1240 = 0)|Se este alarme for exibido permanentemente, verificar a tensão de alimentação do inversor.
A0503|Limite de subtensão|Falha na alimentação principal; Alimentação principal (P0210) e consequentemente a tensão no DC-link (R0026) abaixo do limite especificado (P2172)|Verificar a tensão da alimentação principal (P0210).
A0504|Sobretemperatura do inversor|O nível de alarme de temperatura do dissipador do inversor (P0614) foi excedido, resultando em redução da freqüência de pulso e/ou redução da freqüência (dependendo da parametrização em P0610)|Verificar: 1. A temperatura ambiente deve ficar dentro dos limites especificados. 2. As condições de carga e o ciclo de carga devem ser adequados.
A0505|I²t do Inversor|Foi excedido o nível de alarme, a corrente será reduzida se a opção estiver selecionada (P0610 = 1)|Verificar que o ciclo de carga esteja dentro dos limites especificados.
A0506|Ciclo de carga do Inversor|A diferença entre a temperatura do dissipador e da junção IGBT excede os limites de alarme|Verificar que o ciclo de carga e tensão estejam dentro dos limites especificados.
A0511|Sobretemperatura do motor I²t|Motor sobrecarregado; Carga muito alta|Independentemente do tipo de determinação da temperatura, verificar: P0604 limite alarme temperatura do motor; P0625 temperatura ambiente do motor. Se (P601 = 0 ou 1): 1. Verificar se os dados de placa do motor estão corretos. 2. Dados precisos de circuito equivalente podem ser encontrados efetuando-se a identificação do motor (P1910=1). 3. Checar se o peso do motor é razoável (P344). 4. Via P626, P627, P628 as temperaturas standard podem ser alteradas. Se (P601 = 2): 1. Checar se a temperatura exibida em r35 é razoável. 2. Checar se o sensor é do tipo KTY84 (outros sensores não são suportáveis).
A0512|Sinal de temperatura do motor perdido|Quebra de fio do sensor de temperatura do motor. Caso seja detectada quebra de fio, supervisão de temperatura deve ser feita através do modelo térmico do motor|---
A0520|Sobretemperatura no Retificador|Nível de alarme de temperatura no dissipador do retificador (P) foi excedido|Verificar: 1. Temperatura ambiente deve estar dentro dos limites especificados. 2. Condições de carga e ciclo de serviço devem ser apropriados. 3. Ventilador deve funcionar quando o acionamento estiver ligado.
A0521|Sobretemperatura ambiente|Nível de alarme de temperatura ambiente (P) foi excedido|Verificar: 1. Temperatura ambiente deve estar dentro dos limites especificados. 2. Ventilador deve funcionar quando o acionamento estiver ligado. 3. Ar na entrada do ventilador não deve ter nenhuma resistência.
A0522|I2C acesso timeout|O acesso cíclico aos valores UCE e temperaturas no power stack via o bus I2C (Mega Master) está com problemas|---
A0523|Falha na saída|Uma fase da saída está desconectada|Alarme pode ser ignorado.
A0535|Resistor de frenagem quente|--- (Causas não especificadas no arquivo)|---
A0541|Ativada a identificação dos dados do motor|Identificação dos dados do motor (P1910) selecionados ou em funcionamento|---
A0542|Otimização do controle de velocidade ativado|Otimização do controle de velocidade (P1960) selecionados ou em funcionamento|---
A0590|Alarme perda do sinal de feedback encoder|Perda do sinal de feedback do encoder e inversor alterado para controle vetorial sem sensor|Parar Inversor e fazer: 1. Verificar se o encoder está acoplado. Caso não esteja acoplado, ajustar P400 = 0 e selecionar modo SLVC (P1300 = 20 ou 22). 2. Verificar conexões entre encoder e inversor. 3. Verificar encoder sem falhas (selecionar P1300 = 0, rodar a uma velocidade fixa, verificar sinal de feedback do encoder em P66). Aumentar limite para perda do sinal do encoder em P492.
A0600|Alarme RTOS|--- (Causas não especificadas no arquivo)|---
A0700|CB alarme 1 vide manual do CB para detalhes|CB (módulo de comunicação) específico|Vide manual do usuário do módulo CB.
A0701|CB alarme 2 vide manual do CB para detalhes|CB (módulo de comunicação) específico|Vide manual do usuário do módulo CB.
A0702|CB alarme 3 vide manual do CB para detalhes|CB (módulo de comunicação) específico|Vide manual do usuário do módulo CB.
A0703|CB alarme 4 vide manual do CB para detalhes|CB (módulo de comunicação) específico|Vide manual do usuário do módulo CB.
A0704|CB alarme 5 vide manual do CB para detalhes|CB (módulo de comunicação) específico|Vide manual do usuário do módulo CB.
A0705|CB alarme 6 vide manual do CB para detalhes|CB (módulo de comunicação) específico|Vide manual do usuário do módulo CB.
A0706|CB alarme 7 vide manual do CB para detalhes|CB (módulo de comunicação) específico|Vide manual do usuário do módulo CB.
A0707|CB alarme 8 vide manual do CB para detalhes|CB (módulo de comunicação) específico|Vide manual do usuário do módulo CB.
A0708|CB alarme 9 vide manual do CB para detalhes|CB (módulo de comunicação) específico|Vide manual do usuário do módulo CB.
A0709|CB alarme 10 vide manual do CB para detalhes|CB (módulo de comunicação) específico|Vide manual do usuário do módulo CB.
A0710|erro de comunicação - CB|Comunicação com CB (módulo de comunicação) interrompida|Checar hardware do módulo CB.
A0711|erro de configuração – CB|CB (módulo de comunicação) informa um erro de configuração|Checar parâmetros do módulo CB.
A0910|Regulador Vdc-máx. desativado|Regulador não é capaz de manter a tensão do DC-link (r0026) dentro dos limites (P2172); Tensão de alimentação principal (P0210) permanentemente muito alta; Motor acionado por carga ativa (modo regenerativo); Inércia de carga muito alta na desaceleração|Verificar: 1. Tensão de entrada (P0210) deve estar dentro da faixa. 2. Carga deve ser adequada.
A0911|Regulador Vdc-máx. ativado|Regulador Vdc máx está ativado; Tempos de desaceleração serão incrementados automaticamente para manter a tensão do DC-link (r0026) dentro dos limites (P2172)|---
A0912|Regulador Vdc-mín. ativado|Tensão no DC-link (r0026) diminuir abaixo do nível mínimo (P2172); A energia cinética do motor é utilizada para armazenar a tensão no DC-link, causando desaceleração|---
A0920|Parâmetros de entrada analógica não ajustados adequadamente|Índice 0: Ajustes do parâmetro para saída idênticos; Índice 1: Ajustes do parâmetro para entrada idênticos; Índice 2: Ajustes do parâmetro para entrada não correspondem ao tipo de entrada anal|---
A0921|Parâmetros de saída analógica não ajustados adequadamente|Índice 0: Ajustes do parâmetro para saída idênticos; Índice 1: Ajustes do parâmetro para entrada idênticos; Índice 2: Ajustes do parâmetro para entrada não correspondem ao tipo de saída analog|---
A0922|Inversor sem carga|Nenhuma carga é aplicada ao inversor. Como resultado, algumas funções podem não funcionar como em condições normais|---
A0923|Tanto JOG esquerda quanto JOG direita são selecionados|Tanto JOG à esquerda quanto JOG à direita (P1055/P1056) foram selecionados, fazendo com que a freqüência de saída RFG fique congelada no valor atual|---
A0952|Falha de transmissão mecânica detectada|Condições de carga do motor indicam falha de transmissão mecânica ou falha mecânica|Aplicar lubrificação, caso necessário. Verificar: 1. Se existe alguma interrupção, ou obstrução no percurso do acionamento. 1. Caso esteja sendo utilizado sensor de velocidade externo, verificar para corrigir a função. Verificar os parâmetros: P0409, P2191, P2192. 2. Caso esteja sendo utilizado torque dentro da tolerância admissível, verificar os parâmetros P2182-P2190 e P2192. 4. Aplicar lubrificação, caso necessário.
A0936|Auto-ajuste do PID ativado|Auto-ajuste do PID (P2350) selecionado ou em funcionamento|---
